area_type,availability,location,bhk,total_sqft,bath,balcony,price
Super built-up  Area,18-Dec,Hebbal,3,1760.0,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Ambalipura,3,1800.0,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1070.0,2.0,1.0,54.0
Plot  Area,Ready To Move,Vidyaranyapura,2,1440.0,2.0,0.0,95.0
Super built-up  Area,Ready To Move,Amruthahalli,2,900.0,2.0,1.0,40.0
Super built-up  Area,18-May,Whitefield,2,1130.0,2.0,1.0,42.16
Super built-up  Area,Ready To Move,Koramangala,2,1320.0,2.0,1.0,165.0
Super built-up  Area,Ready To Move,Subramanyapura,2,929.0,2.0,0.0,50.17
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,3600.0,4.0,3.0,400.0
Super built-up  Area,Ready To Move,Chikkalasandra,2,1208.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,1130.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Old Madras Road,5,4500.0,7.0,3.0,337.0
Super built-up  Area,22-Jun,Hoodi,2,1196.0,2.0,2.0,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1150.0,3.0,3.0,52.5
Super built-up  Area,18-Apr,Electronic City,2,1128.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Yelahanka,2,1035.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,950.0,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2,1040.0,2.0,1.0,48.5
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1511.0,3.0,1.0,95.0
Super built-up  Area,19-Dec,Hoodi,3,1545.0,3.0,1.0,68.75
Super built-up  Area,Ready To Move,Vidyaranyapura,2,1062.0,2.0,3.0,38.0
Super built-up  Area,Ready To Move,JP Nagar,2,1000.0,2.0,1.0,35.0
Super built-up  Area,17-May,Kambipura,2,883.0,2.0,1.0,45.0
Super built-up  Area,19-Apr,Sarjapur  Road,2,1195.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vittasandra,2,1246.0,2.0,1.0,67.0
Super built-up  Area,18-Dec,Haralur Road,4,2805.0,5.0,3.0,154.0
Super built-up  Area,Ready To Move,Begur Road,3,1584.0,3.0,2.0,65.0
Plot  Area,Ready To Move,Sector 7 HSR Layout,4,3000.0,5.0,1.0,275.0
Built-up  Area,Ready To Move,Hosur Road,3,1175.0,2.0,2.0,48.0
Super built-up  Area,18-Apr,Electronic City,3,1599.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Whitefield,2,1150.0,2.0,1.0,70.0
Super built-up  Area,17-Dec,Jakkur,4,5230.0,6.0,1.0,465.0
Super built-up  Area,Ready To Move,KR Puram,2,1155.0,2.0,2.0,42.74
Super built-up  Area,18-Jul,Electronic City Phase II,2,1000.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Thanisandra,4,3000.0,4.0,2.0,120.0
Super built-up  Area,18-Jun,Ramagondanahalli,2,1251.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1170.0,2.0,1.0,66.0
Super built-up  Area,Ready To Move,Hebbal,3,2400.0,4.0,1.0,245.0
Super built-up  Area,Ready To Move,HSR Layout,2,1372.0,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Magadi Road,3,1282.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Mico Layout,9,5000.0,9.0,3.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,1135.0,2.0,1.0,39.73
Built-up  Area,20-Dec,Whitefield,3,1768.0,3.0,2.0,101.0
Super built-up  Area,18-Apr,Electronic City,3,1599.0,3.0,2.0,99.0
Plot  Area,18-Mar,Whitefield,3,1500.0,3.0,1.0,61.95
Super built-up  Area,Ready To Move,Uttarahalli,2,1286.0,2.0,2.0,63.0
Built-up  Area,Ready To Move,Kammanahalli,5,2845.0,5.0,1.0,140.0
Super built-up  Area,18-Sep,Hennur Road,2,1317.5,2.0,0.0,63.77
Super built-up  Area,Ready To Move,Hebbal,3,3450.0,5.0,2.0,260.0
Super built-up  Area,18-Apr,Munnekollal,2,1102.0,2.0,2.0,53.67
Super built-up  Area,Ready To Move,Yelahanka,2,1350.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Banashankari,3,1200.0,2.0,2.0,42.0
Built-up  Area,Ready To Move,Chikkabanavar,2,950.0,2.0,1.0,40.0
Super built-up  Area,21-Dec,Kanakpura Road,1,525.0,1.0,1.0,27.25
Built-up  Area,Ready To Move,Attibele,2,656.0,2.0,1.0,25.0
Plot  Area,Ready To Move,Marathahalli,4,1780.0,4.0,3.0,175.0
Super built-up  Area,21-Feb,Bannerghatta Road,1,595.0,1.0,1.0,33.32
Super built-up  Area,19-Dec,7th Phase JP Nagar,3,2225.0,3.0,1.0,160.0
Super built-up  Area,18-Aug,Bommasandra,2,1126.0,2.0,1.0,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1490.0,3.0,1.0,84.0
Plot  Area,Ready To Move,HRBR Layout,4,2000.0,4.0,1.0,300.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1550.0,3.0,3.0,100.0
Built-up  Area,Ready To Move,Whitefield,4,4144.0,4.0,3.0,315.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2100.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Vittasandra,2,1404.0,2.0,1.0,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4,2230.0,4.0,3.0,225.0
Super built-up  Area,18-May,Banashankari Stage III,3,1305.0,2.0,1.0,58.7
Super built-up  Area,Ready To Move,Marathahalli,2,1230.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Harlur,3,1460.0,3.0,1.0,73.0
Built-up  Area,Ready To Move,Gottigere,2,967.0,2.0,3.0,45.0
Super built-up  Area,19-Dec,Hormavu,1,715.0,1.0,2.0,46.0
Super built-up  Area,Ready To Move,Whitefield,3,2500.0,3.0,2.0,313.0
Super built-up  Area,Ready To Move,Mysore Road,2,1020.0,2.0,1.0,48.95
Super built-up  Area,Ready To Move,Jigani,2,1020.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Koramangala,2,1253.0,2.0,1.0,102.0
Built-up  Area,Ready To Move,Kanakapura,3,1419.0,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Harlur,3,1709.0,3.0,2.0,150.0
Carpet  Area,Ready To Move,Sanjay nagar,2,1100.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,HSR Layout,3,1430.0,2.0,1.0,65.0
Super built-up  Area,19-May,Sarjapur  Road,3,1249.0,3.0,2.0,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1450.0,2.0,3.0,85.0
Super built-up  Area,17-Nov,Konanakunte,3,2791.0,3.0,1.0,223.0
Super built-up  Area,Ready To Move,Arekere,3,2060.0,3.0,2.0,140.0
Super built-up  Area,19-Jan,Malleshwaram,7,12000.0,7.0,3.0,2200.0
Built-up  Area,Ready To Move,Gottigere,2,891.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1133.0,2.0,1.0,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,37.0
Built-up  Area,Ready To Move,Vidyaranyapura,2,1200.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Thanisandra,2,1075.0,2.0,2.0,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,2,1140.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1090.0,2.0,1.0,42.0
Built-up  Area,Ready To Move,R.T. Nagar,4,1500.0,4.0,1.0,70.0
Super built-up  Area,Ready To Move,Whitefield,4,4104.0,4.0,2.0,360.0
Super built-up  Area,Ready To Move,Whitefield,3,1790.0,3.0,2.0,100.0
Super built-up  Area,18-Dec,Hebbal,3,1920.0,3.0,2.0,134.0
Built-up  Area,Ready To Move,HRBR Layout,2,1374.0,2.0,2.0,95.0
Carpet  Area,Ready To Move,Bannerghatta Road,3,1445.0,3.0,2.0,95.0
Super built-up  Area,19-Dec,Kanakapura,1,711.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Tumkur Road,3,1500.0,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Whitefield,3,1720.0,3.0,3.0,100.0
Built-up  Area,Ready To Move,Kundalahalli,2,1030.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Mysore Road,2,1200.0,2.0,1.0,85.0
Plot  Area,Ready To Move,Hegde Nagar,2,1050.0,1.0,2.0,56.0
Super built-up  Area,Ready To Move,Jalahalli,3,2250.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Bellandur,2,1000.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Marathahalli,4,3800.0,4.0,3.0,250.0
Super built-up  Area,Ready To Move,GM Palaya,3,1820.0,2.0,3.0,86.0
Built-up  Area,Ready To Move,Singasandra,3,1440.0,2.0,3.0,65.0
Built-up  Area,Ready To Move,Malleshwaram,4,2500.0,5.0,2.0,325.0
Super built-up  Area,18-Aug,Mahadevpura,2,1225.0,2.0,2.0,48.0
Carpet  Area,Ready To Move,Chikkalasandra,2,875.0,2.0,3.0,52.8
Super built-up  Area,Ready To Move,Jalahalli East,1,750.0,1.0,2.0,40.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1180.0,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Haralur Road,2,1194.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Hennur Road,3,1500.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Hosakerehalli,3,2378.0,3.0,1.0,262.0
Super built-up  Area,Ready To Move,Sarjapur,2,1128.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,3,1500.0,3.0,1.0,150.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1210.0,2.0,2.0,58.0
Super built-up  Area,20-Oct,Kanakpura Road,3,1100.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Bommasandra,3,1200.0,3.0,2.0,46.0
Built-up  Area,18-Mar,Haralur Road,4,3385.0,5.0,2.0,260.0
Super built-up  Area,Ready To Move,Horamavu Agara,2,1200.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1260.0,2.0,1.0,67.39
Super built-up  Area,Ready To Move,Mahadevpura,3,1720.0,3.0,3.0,78.0
Super built-up  Area,Ready To Move,Yelahanka,2,1132.5,2.0,0.0,48.13
Super built-up  Area,Ready To Move,Yelahanka,2,1210.0,2.0,1.0,45.98
Built-up  Area,Ready To Move,Indira Nagar,4,2200.0,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Thanisandra,3,1702.0,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1141.0,2.0,2.0,38.55
Super built-up  Area,18-Dec,JP Nagar,5,5520.0,2.0,2.0,375.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1640.0,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3,1190.0,2.0,2.0,57.0
Plot  Area,Ready To Move,OMBR Layout,4,2400.0,4.0,2.0,375.0
Super built-up  Area,Ready To Move,Marathahalli,2,1019.0,2.0,2.0,49.85
Plot  Area,Ready To Move,Brookefield,3,1200.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Whitefield,2,1140.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1683.0,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,1515.0,3.0,2.0,83.3
Super built-up  Area,19-Dec,Hoodi,4,2118.0,4.0,2.0,111.0
Built-up  Area,Ready To Move,Bannerghatta Road,4,1380.0,3.0,0.0,58.0
Super built-up  Area,Ready To Move,Varthur Road,2,1083.0,2.0,2.0,61.75
Plot  Area,17-Aug,Anjanapura,3,1500.0,3.0,1.0,139.0
Super built-up  Area,Ready To Move,Abbigere,2,985.0,2.0,1.0,40.39
Plot  Area,Ready To Move,Tindlu,3,1500.0,2.0,1.0,87.0
Built-up  Area,18-Dec,Electronic City,2,1125.0,2.0,1.0,32.49
Super built-up  Area,18-Dec,JP Nagar,5,5600.0,2.0,2.0,548.5
Super built-up  Area,Ready To Move,Kothanur,3,1580.0,3.0,3.0,76.0
Built-up  Area,18-Jul,Electronic City Phase II,2,1090.0,2.0,1.0,28.34
Built-up  Area,19-Mar,Hennur Road,3,2264.0,3.0,1.0,159.0
Super built-up  Area,18-Apr,Kammasandra,2,810.0,2.0,2.0,24.5
Super built-up  Area,18-Sep,Hebbal,2,1337.0,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Chandapura,2,1200.0,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Koramangala,3,1580.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Begur Road,3,1500.0,2.0,3.0,54.0
Super built-up  Area,18-Sep,Whitefield,3,1640.0,4.0,2.0,91.0
Super built-up  Area,Ready To Move,Gubbalala,3,1470.0,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Kengeri,2,1160.0,2.0,2.0,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1050.0,2.0,1.0,71.0
Super built-up  Area,20-Jun,Dairy Circle,3,1855.0,3.0,1.0,225.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1460.0,2.0,1.0,90.0
Built-up  Area,Ready To Move,Hulimavu,3,1823.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Electronic City,2,1094.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Budigere,2,1153.0,2.0,2.0,57.0
Built-up  Area,Ready To Move,Jakkur,3,1590.0,2.0,2.0,125.0
Built-up  Area,Ready To Move,Haralur Road,2,1202.0,2.0,1.0,53.0
Super built-up  Area,18-Feb,Panathur,3,1688.0,3.0,1.0,118.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,1020.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Sarjapur,2,1185.0,2.0,2.0,47.0
Super built-up  Area,17-Oct,Ramagondanahalli,2,1235.0,2.0,1.0,52.04
Super built-up  Area,Ready To Move,Banashankari,2,1077.0,2.0,2.0,37.64
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3,1415.0,2.0,3.0,66.0
Super built-up  Area,18-Apr,EPIP Zone,3,2330.0,3.0,2.0,162.0
Super built-up  Area,Ready To Move,Whitefield,2,805.0,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Whitefield,2,1155.0,2.0,3.0,59.95
Super built-up  Area,Ready To Move,Cunningham Road,4,5270.0,4.0,3.0,1250.0
Super built-up  Area,Ready To Move,Anekal,2,656.0,2.0,1.0,22.0
Super built-up  Area,Ready To Move,Mahadevpura,2,1150.0,2.0,3.0,52.0
Super built-up  Area,18-Dec,Whitefield,3,2280.0,4.0,2.0,126.0
Super built-up  Area,Ready To Move,Hegde Nagar,2,1341.0,2.0,1.0,97.0
Super built-up  Area,Ready To Move,Jakkur,2,1279.0,2.0,1.0,77.0
Super built-up  Area,18-Dec,Electronic City Phase II,4,2225.0,4.0,0.0,98.88
Super built-up  Area,Ready To Move,Thanisandra,2,1185.0,2.0,2.0,43.51
Super built-up  Area,Ready To Move,Kudlu,2,1152.0,2.0,1.0,53.5
Plot  Area,18-Nov,Varthur Road,4,2760.0,4.0,2.0,155.0
Super built-up  Area,Ready To Move,Uttarahalli,2,1101.0,2.0,0.0,45.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1,667.0,1.0,1.0,36.85
Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Old Airport Road,3,1875.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Kundalahalli,2,735.0,2.0,1.0,57.99
Plot  Area,Ready To Move,Sarjapur,5,4360.0,4.0,1.0,90.0
Super built-up  Area,Ready To Move,Koramangala,3,1750.0,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Marathahalli,2,1215.0,2.0,1.0,67.0
Super built-up  Area,20-Dec,Banashankari Stage VI,2,1177.5,2.0,0.0,59.935
Super built-up  Area,Ready To Move,Battarahalli,3,1779.0,3.0,2.0,89.61
Super built-up  Area,Ready To Move,Whitefield,3,1650.0,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Jalahalli,2,1694.0,2.0,2.0,150.0
Super built-up  Area,Ready To Move,Hosakerehalli,3,2376.0,3.0,1.0,203.0
Super built-up  Area,Ready To Move,Cox Town,3,1975.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Kammasandra,2,674.0,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,1185.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Thanisandra,1,445.0,1.0,0.0,28.0
Super built-up  Area,Ready To Move,HSR Layout,3,1475.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Gottigere,3,1618.0,3.0,3.0,82.5
Super built-up  Area,Ready To Move,Koramangala,2,1120.0,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,4,2181.0,3.0,2.0,152.0
Plot  Area,Ready To Move,Vidyaranyapura,4,1200.0,4.0,0.0,90.0
Super built-up  Area,18-Oct,Bannerghatta Road,3,1556.0,2.0,1.0,59.13
Super built-up  Area,19-Feb,Bannerghatta Road,2,1179.0,2.0,1.0,66.02
Super built-up  Area,Ready To Move,Thanisandra,2,1296.0,2.0,2.0,83.0
Built-up  Area,Ready To Move,Kaggadasapura,2,1275.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kathriguppe,3,1400.0,2.0,2.0,77.0
Super built-up  Area,Ready To Move,Gottigere,2,1222.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Electronic City,2,940.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Thanisandra,2,1185.0,2.0,2.0,42.6
Super built-up  Area,Ready To Move,Tumkur Road,3,1779.0,3.0,2.0,112.0
Super built-up  Area,Ready To Move,Begur Road,3,1615.0,3.0,2.0,59.76
Super built-up  Area,18-Dec,JP Nagar,4,4624.5,2.0,2.0,453.0
Super built-up  Area,Ready To Move,Haralur Road,2,1056.0,2.0,1.0,61.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1100.0,2.0,0.0,46.0
Built-up  Area,Ready To Move,Arekere,2,920.0,2.0,1.0,40.0
Built-up  Area,Ready To Move,Padmanabhanagar,2,1176.0,2.0,0.0,62.0
Built-up  Area,Ready To Move,Kasavanhalli,3,1717.0,3.0,3.0,99.0
Super built-up  Area,18-Jul,Bhoganhalli,4,2119.0,4.0,3.0,111.0
Super built-up  Area,Ready To Move,Vittasandra,2,1246.0,2.0,1.0,67.3
Super built-up  Area,17-Jul,Anandapura,2,1141.0,2.0,1.0,42.79
Built-up  Area,Ready To Move,Hennur Road,2,1157.0,2.0,1.0,84.0
Super built-up  Area,18-Aug,Chandapura,2,1025.0,2.0,2.0,27.68
Built-up  Area,Ready To Move,Yelahanka New Town,1,650.0,1.0,2.0,33.0
Super built-up  Area,Ready To Move,Hebbal,2,1349.0,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Narayanapura,3,1566.0,3.0,1.0,83.3
Super built-up  Area,Ready To Move,Sahakara Nagar,4,2830.0,3.0,3.0,195.0
Built-up  Area,18-Dec,Electronic City,3,1320.0,2.0,1.0,38.13
Super built-up  Area,Ready To Move,Varthur,2,1091.0,2.0,1.0,34.9
Super built-up  Area,Ready To Move,Rachenahalli,4,3670.0,4.0,3.0,300.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,918.0,2.0,1.0,50.49
Super built-up  Area,20-Dec,Yeshwanthpur,4,1950.0,4.0,0.0,130.0
Super built-up  Area,Ready To Move,Panathur,3,1695.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yelahanka,3,1705.0,3.0,2.0,95.0
Built-up  Area,Ready To Move,Kalyan nagar,3,1375.0,3.0,2.0,75.0
Super built-up  Area,21-Oct,Kanakpura Road,1,525.0,1.0,1.0,30.0
Built-up  Area,20-Dec,Whitefield,2,1447.0,2.0,1.0,83.0
Super built-up  Area,Ready To Move,Thanisandra,2,1114.0,2.0,1.0,39.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1450.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Hebbal,2,1000.0,2.0,2.0,45.0
Super built-up  Area,18-Apr,Electronic City,2,1128.0,2.0,1.0,68.75
Super built-up  Area,18-May,Kanakpura Road,2,1180.0,2.0,2.0,57.0
Plot  Area,Ready To Move,Nagarbhavi,2,1200.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,3,3761.0,3.0,2.0,660.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,1339.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Yelachenahalli,3,1400.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1040.0,2.0,1.0,39.52
Super built-up  Area,Ready To Move,Kadugodi,2,1198.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1691.0,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,3.0,2.0,36.0
Super built-up  Area,18-Jun,1st Block Jayanagar,3,1630.0,3.0,2.0,194.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,3,1240.0,3.0,2.0,43.5
Super built-up  Area,22-Dec,Bannerghatta Road,2,1122.5,2.0,0.0,58.935
Super built-up  Area,Ready To Move,Mallasandra,3,1665.0,3.0,2.0,86.58
Built-up  Area,Ready To Move,Marathahalli,3,2489.0,3.0,2.0,94.0
Built-up  Area,Ready To Move,Brookefield,2,1142.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kothannur,3,1853.0,3.0,2.0,82.0
Super built-up  Area,Ready To Move,Kasturi Nagar,2,1567.0,2.0,2.0,92.0
Super built-up  Area,Ready To Move,Talaghattapura,2,1090.0,2.0,1.0,27.24
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1175.0,2.0,2.0,51.47
Built-up  Area,Ready To Move,Subramanyapura,2,1200.0,2.0,2.0,52.0
Built-up  Area,Ready To Move,Kodichikkanahalli,2,995.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Magadi Road,2,884.0,2.0,1.0,41.1
Built-up  Area,Ready To Move,Yeshwanthpur,2,1170.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,KR Puram,2,1225.0,2.0,1.0,46.55
Super built-up  Area,18-Apr,Electronic City,2,1342.0,2.0,1.0,73.3
Built-up  Area,19-Dec,Uttarahalli,2,1345.0,2.0,1.0,67.0
Built-up  Area,Ready To Move,Kodigehaali,3,1320.0,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1140.0,2.0,1.0,49.39
Super built-up  Area,Ready To Move,Battarahalli,2,1300.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Hosa Road,3,1652.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Thigalarapalya,3,2072.0,4.0,2.0,142.0
Built-up  Area,Ready To Move,Arekere,3,1740.0,2.0,2.0,95.0
Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hosur Road,3,1145.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1278.0,2.0,2.0,95.0
Super built-up  Area,21-Jan,Kanakpura Road,3,1100.0,3.0,2.0,58.0
Super built-up  Area,18-Jun,Chandapura,1,582.5,1.0,0.0,15.135
Super built-up  Area,18-Sep,Chandapura,2,1015.0,2.0,2.0,25.88
Built-up  Area,Ready To Move,Hosur Road,5,3300.0,5.0,2.0,240.0
Plot  Area,Ready To Move,Basaveshwara Nagar,5,4500.0,5.0,1.0,415.0
Super built-up  Area,Ready To Move,Gunjur,3,1356.0,2.0,3.0,66.0
Plot  Area,Ready To Move,TC Palaya,3,1200.0,2.0,0.0,66.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,1050.0,2.0,0.0,37.0
Super built-up  Area,Ready To Move,Whitefield,2,1116.0,2.0,3.0,51.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1070.0,2.0,1.0,42.79
Super built-up  Area,17-Mar,Varthur,2,1385.0,2.0,3.0,80.0
Plot  Area,Ready To Move,Varthur,1,1000.0,1.0,1.0,70.0
Built-up  Area,18-Feb,Whitefield,3,1897.0,3.0,2.0,130.0
Super built-up  Area,18-Aug,Magadi Road,2,1005.0,2.0,1.0,55.78
Super built-up  Area,Ready To Move,Green Glen Layout,3,1575.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Subramanyapura,2,975.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Hennur Road,3,1904.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1,930.0,1.0,1.0,30.0
Super built-up  Area,21-Dec,Kanakpura Road,1,525.0,1.0,1.0,26.0
Plot  Area,Ready To Move,Electronic City Phase II,2,2400.0,3.0,1.0,150.0
Built-up  Area,18-Apr,Sarjapur  Road,3,2238.0,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Harlur,2,1174.0,2.0,1.0,69.0
Built-up  Area,Ready To Move,Thubarahalli,4,3800.0,4.0,3.0,239.0
Super built-up  Area,Ready To Move,Whitefield,3,2225.0,2.0,1.0,125.0
Super built-up  Area,Ready To Move,Jigani,2,918.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Mahadevpura,2,1250.0,2.0,3.0,52.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1800.0,3.0,2.0,110.0
Built-up  Area,Ready To Move,Marathahalli,2,1170.0,2.0,3.0,53.0
Built-up  Area,Ready To Move,Bannerghatta Road,2,793.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Jakkur,3,1710.0,3.0,2.0,107.0
Super built-up  Area,Ready To Move,Kambipura,3,1082.0,2.0,1.0,57.5
Super built-up  Area,Ready To Move,Yelahanka,3,1590.0,2.0,1.0,54.0
Super built-up  Area,18-Dec,Thanisandra,2,1142.5,2.0,0.0,43.415
Super built-up  Area,Ready To Move,Bellandur,5,4239.0,5.0,2.0,423.0
Built-up  Area,Ready To Move,Konanakunte,2,884.0,1.0,0.0,58.0
Super built-up  Area,Ready To Move,Marathahalli,2,1019.0,2.0,2.0,49.86
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1935.0,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1135.0,2.0,2.0,39.73
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,1680.0,3.0,2.0,150.0
Super built-up  Area,19-Jun,Hebbal,4,2470.0,5.0,2.0,247.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,2825.0,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Hosakerehalli,3,2480.0,3.0,1.0,330.0
Plot  Area,Ready To Move,Ramamurthy Nagar,5,1800.0,4.0,3.0,187.0
Built-up  Area,Ready To Move,Kasavanhalli,3,1799.0,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Whitefield,4,4348.5,2.0,2.0,304.0
Built-up  Area,Ready To Move,Attibele,1,400.0,1.0,1.0,11.0
Built-up  Area,18-Mar,Kundalahalli,2,1047.0,2.0,1.0,82.0
